feed_version,feed_start_date,feed_end_date,fare_id,route_id,origin_id,destination_id,contains_id,versao_modelo
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0778AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0606AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0779AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0623AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0247AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0688AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0711AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0238AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0635AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0663AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0483AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0921AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0638AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0799AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0311AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0342AAR0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0312AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0665AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0483AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0679AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0378AAR0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0624AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0384AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0265AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
