route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
788,155,2.73,15.0,1831.0,44.56,5.0,100,34,28.716180937218088,74,0,14.980905721346893,7.43,0,Médio Risco,O0788AAA0A,0.0,55.58,2011.33,73,93,100,76
790,177,5.68,32.0,2333.0,38.69,5.0,218,106,38.34803030888847,114,14,26.52313045768471,12.8,0,Médio Risco,O0790AAA0A,0.429,78.91,2013.86,163,275,397,305
791,98,2.76,24.0,940.0,41.35,5.0,63,15,16.964949861686115,53,0,12.859328086668437,3.88,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,21,65,78,54
793,102,2.99,17.0,1076.0,45.0,5.0,55,18,13.622460444847274,46,0,12.15651253861276,4.75,0,Médio Risco,O0793AAA0A,0.7140000000000001,48.17,2015.29,16,120,63,89
794,182,4.99,77.0,2361.0,45.24,5.0,233,73,51.77147587509665,100,4,22.963108409492104,13.77,2,Alto Risco,O0794AAA0A,0.0,71.88,2010.0,174,168,353,207
796,89,3.55,26.0,929.0,37.02,5.0,81,20,24.039649787481554,54,0,11.916071232717119,3.82,0,Médio Risco,O0796AAA0A,0.0,41.6,2010.11,13,69,75,51
798,112,3.62,29.0,1307.0,42.38,5.0,102,23,29.033642226775147,59,0,14.10724965234624,6.65,0,Médio Risco,O0798AAA0A,0.032,43.5,2010.14,21,100,101,79
799,189,5.12,26.0,2207.0,28.07,5.0,200,50,57.11308748355986,112,7,27.167455754522045,12.46,0,Médio Risco,O0799AAA0A,0.2,56.81,2011.85,100,230,316,133
80,70,6.56,39.0,2172.0,16.62,5.0,86,30,22.06591856018602,54,0,12.932096907879348,7.71,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,71,80,192,77
801,183,4.77,58.0,2407.0,49.5,5.0,153,92,20.391408087955178,91,9,22.911890147801593,12.46,0,Médio Risco,O0801AAA0A,0.214,74.8,2012.0,150,151,315,207
802,90,3.88,29.0,609.0,49.68,5.0,79,16,19.27618812347059,39,0,9.659417571783868,2.74,0,Médio Risco,O0802AAA0A,1.0,36.9,2015.49,74,29,111,56
